,VerseId,VerseContent,UntrimmedAudio
0,MAT.1.1,Dore uko ibisekuruza bya Yezu Kristo ukomoka kuri Dawidi no kuri Aburahamu bikurikirana: ,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
1,MAT.1.2,"Aburahamu yabyaye Izaki, Izaki abyara Yakobo, Yakobo abyara Yuda n'abavandimwe be. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
2,MAT.1.3,"Yuda abyara PerÄ“si na Zera ababyaranye na Tamari, PerÄ“si abyara Hesironi, Hesironi abyara Aramu, ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
3,MAT.1.4,"Aramu abyara Aminadabu, Aminadabu abyara Nahasoni, Nahasoni abyara Salumoni. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
4,MAT.1.5,"Salumoni abyara Bowazi amubyaranye na Rahabu, Bowazi abyara Obedi amubyaranye na Ruti, Obedi abyara Yese. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
5,MAT.1.6,Yese abyara Umwami Dawidi.,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
6,MAT.1.6,Dawidi yabyaye Salomo amubyaranye na muka Uriya. ,http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
7,MAT.1.7,"Salomo abyara Robowamu, Robowamu abyara Abiya, Abiya abyara Asa",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
8,MAT.1.8,"Asa abyara Yozafati, Yozafati abyara Yoramu, Yoramu abyara Uziya. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
9,MAT.1.9,"Uziya abyara Yotamu, Yotamu abyara Ahazi, Ahazi abyara Hezekiya. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
10,MAT.1.10,"Hezekiya abyara Manase, Manase abyara Amoni, Amoni abyara Yosiya. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
11,MAT.1.11,"Yosiya abyara Yekoniya n'abavandimwe be, babayeho igihe Abayuda bajyanwaga ho iminyago i Babiloni",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
13,MAT.1.12,"Nyuma y'aho bajyaniwe i Babiloni, Yekoniya yabyaye Salatiyeli, Salatiyeli abyara Zerubabeli. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
14,MAT.1.13,"Zerubabeli abyara Abiyudi, Abiyudi abyara Eliyakimu, Eliyakimu abyara Azori. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
15,MAT.1.14,"Azori abyara Sadoki, Sadoki abyara Akimu, Akimu abyara Elihudi. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
16,MAT.1.15,"Elihudi abyara Eleyazari, Eleyazari abyara Matani, Matani abyara Yakobo. ",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
17,MAT.1.16,"Yakobo abyara Yozefu umugabo wa Mariya, ari na we nyina wa Yezu witwa Kristo.",http//cdn-youversionapi.global.ssl.fastly.net/audio-bible-youversionapi/126/32k/MAT/1-c8d4c8b503b0ff0344b46746d3a6b8de.mp3?version_id=387
